NAME,TYPE,Sector,ADDRESS_AB,CITY,PROVINCE,POSTAL_COD,longitude,latitude
Canadian Montessori School North,Private School,SW,1112 - 70 Avenue SW,Calgary,AB,T2V0P6,-114.0882622,50.99074473
Dr. J.K. Mulloy,Public School,NW,7440 10 Street NW,Calgary,AB,T2K1H6,-114.079969,51.11922507
Radisson Park,Public School,SE,2805 Radcliffe Drive SE,Calgary,AB,T2A0C8,-113.992233,51.04616136
Lord Beaverbrook High,Public School,SE,9019 Fairmount Drive SE,Calgary,AB,T2H0Z4,-114.0616396,50.97309982
Elbow Park,Public School,SW,721 - 38 Avenue SW,Calgary,AB,T2T2H8,-114.082197,51.01957747
St. Jean Brebeuf,Separate School,NW,5030 Northland Dr NW,Calgary,AB,T2L2J6,-114.1402289,51.09789338
Our Lady of the Evergreens,Separate School,SW,322 Everridge Drive SW,Calgary,AB,T2Y0L5,-114.1221942,50.91437381
Rosedale,Public School,NW,905 13 Avenue NW,Calgary,AB,T2M0G3,-114.0815297,51.06359728
Samuel W. Shaw,Public School,SW,115 Shannon Drive SW,Calgary,AB,T2Y0K6,-114.0873756,50.90813212
Tuscany,Public School,NW,990 Tuscany Drive NW,Calgary,AB,T3L2T4,-114.2454306,51.11778706
Trust Treatment Centre,Public School,NW,2282 9 Street NW,Calgary,AB,T2M4P6,-114.0828403,51.07207022
Mount Royal,Public School,SW,2234 14 Street SW,Calgary,AB,T2T3T3,-114.0939102,51.03472234
Fish Creek,Public School,SE,1039 Suncastle Drive SE,Calgary,AB,T2X2Z1,-114.0328114,50.90150514
Sherwood,Public School,SE,2011 66 Avenue SE,Calgary,AB,T2C1J4,-114.0114784,50.99369668
John Ware,Public School,SW,10020 19 Street SW,Calgary,AB,T2V1R2,-114.1053048,50.96365477
Holy Trinity,Separate School,SE,1717 41 St SE,Calgary,AB,T2A1L2,-113.9749456,51.03897001
Douglasdale,Public School,SE,400 Douglas Park Boulevard SE,Calgary,AB,T2Z4A3,-113.9826488,50.93526299
Vista Heights,Public School,NE,2411 Vermillion Street NE,Calgary,AB,T2E6J3,-114.0170736,51.07388724
Janus Academy,Private School,SE,2223 Spiller Road SE,Calgary,AB,T2G4G9,-114.0457894,51.03318859
Renfrew (Children's Village),Public School,NE,1210 Russet Road NE,Calgary,AB,T2E5L5,-114.0419644,51.06386879
Rundle College Junior High,Private School,SW,7375 - 17 Avenue SW,Calgary,AB,T3H3W5,-114.1939221,51.03689411
St. Mark,Separate School,NE,4589 Marbank Dr NE,Calgary,AB,T2A3V8,-113.969349,51.06304575
The Third Academy,Private School,SE,"3,510-77th Ave SE",Calgary,AB,T2H1C3,-114.0514595,50.98512208
St. Philip,Separate School,SE,13825 Parkside Dr SE,Calgary,AB,T2J5A8,-114.0382746,50.92788262
Sunalta,Public School,SW,536 Sonora Avenue SW,Calgary,AB,T3C2J9,-114.1108977,51.0413434
Calgary Christian High,Public School,SW,5029 - 26 Avenue SW,Calgary,AB,T3E0R5,-114.1589411,51.02976336
Guy Weadick,Public School,NE,5612 Templehill Road NE,Calgary,AB,T1Y4W7,-113.9529749,51.08698834
St. Gerard,Separate School,SW,1204 96 Ave SW,Calgary,AB,T2V0Y1,-114.0884791,50.96887003
St. Anne Academic Centre,Separate School,SE,1010 21 Ave SE,Calgary,AB,T2G1N2,-114.0389181,51.03513931
St. Damien,Separate School,SE,3619 28 St SE,Calgary,AB,T2B2J1,-113.9921971,51.0219097
Pineridge,Public School,NE,1927 61 Street NE,Calgary,AB,T1Y4W6,-113.9452293,51.0703248
Lord Shaughnessy High,Public School,SW,2336 53 Avenue SW,Calgary,AB,T3E1L2,-114.1139277,51.00651691
Cedarbrae,Public School,SW,10631 Oakfield Drive SW,Calgary,AB,T2W2T3,-114.1331845,50.95839876
Eugene Coste,Public School,SW,10 Hillgrove Crescent SW,Calgary,AB,T2V3K7,-114.0869778,50.96788958
Bishop Pinkham,Public School,SW,3304 63 Avenue SW,Calgary,AB,T3E5K1,-114.1306992,50.99726298
Acadia,Public School,SE,9603 5 Street SE,Calgary,AB,T2J1K4,-114.0539269,50.96761062
Rundle College Elementary,Private School,SW,7615 - 17 Ave SW,Calgary,AB,T3H3W5,-114.1973197,51.03671309
